stage,check,status,detail
stage04_inference_engine,probabilities_shape_correct,PASS,"shape=(25596, 14) expected=(25596, 14)"
stage04_inference_engine,predictions_shape_correct,PASS,"shape=(25596, 14) expected=(25596, 14)"
stage04_inference_engine,ground_truth_shape_correct,PASS,"shape=(25596, 14) expected=(25596, 14)"
stage04_inference_engine,no_nan_logits,PASS,nan_count=0
stage04_inference_engine,no_nan_probabilities,PASS,nan_count=0
stage04_inference_engine,no_infinite_values,PASS,inf_logits=0 inf_probs=0
stage04_inference_engine,probabilities_in_unit_range,PASS,min=0.000000 max=1.000000
stage04_inference_engine,parquet_written,PASS,
stage04_inference_engine,csv_written,PASS,
stage05_metrics_engine,class_order_consistent,PASS,dataset_summary vs prediction_metadata vs raw_logits.pt class name lists match exactly
stage05_metrics_engine,class_count_matches_registry,PASS,"class_counts={'dataset_summary': 14, 'prediction_metadata': 14, 'training_summary_model': 14, 'disease_registry_via_stage2': 14, 'raw_logits_class_names': 14}"
stage05_metrics_engine,prediction_count_matches_stage4,PASS,predictions.parquet_rows=25596 prediction_metadata.n_samples=25596 inference_summary.n_samples=25596
stage05_metrics_engine,dataset_size_matches_stage3,PASS,predictions.parquet_rows=25596 dataset_summary.n_samples_usable=25596
stage05_metrics_engine,label_dimensions_correct,PASS,"ground_truth shape=(25596, 14) expected=(25596, 14)"
stage05_metrics_engine,probability_dimensions_correct,PASS,"probabilities shape=(25596, 14) expected=(25596, 14)"
stage05_metrics_engine,logit_dimensions_correct,PASS,"logits shape=(25596, 14) expected=(25596, 14)"
stage05_metrics_engine,prediction_dimensions_correct,PASS,"predictions shape=(25596, 14) expected=(25596, 14)"
stage05_metrics_engine,ground_truth_is_binary,PASS,"unique_values=[0.0, 1.0]"
stage05_metrics_engine,probabilities_in_unit_range,PASS,min=0.000000 max=1.000000
stage05_metrics_engine,no_nan_in_predictions,PASS,"checked ground_truth, probabilities, logits"
stage05_metrics_engine,no_inf_in_predictions,PASS,"checked probabilities, logits"
stage05_metrics_engine,raw_logits_shape_matches_parquet,PASS,"raw_logits.pt shape=(25596, 14) predictions.parquet shape=(25596, 14)"
stage05_metrics_engine,raw_logits_values_match_parquet,PASS,max_abs_diff=0.00e+00
stage05_metrics_engine,threshold_is_fixed_at_point_five,PASS,prediction_metadata.threshold=0.5
stage05_metrics_engine,stored_predictions_match_threshold_0.5,PASS,recomputed (probabilities>=0.5) vs stored predictions column
stage05_metrics_engine,all_headline_metrics_finite,PASS,"{'auroc_macro': 0.46394449390805065, 'f1_macro': 0.04750639120267578, 'precision_macro': 0.027629504481134246, 'recall_macro': 0.26386476012294535, 'specificity_macro': 0.73513976653238}"
stage05_metrics_engine,auroc_range_valid,PASS,"value=0.46394449390805065 expected_range=[0.0,1.0]"
stage05_metrics_engine,f1_range_valid,PASS,"value=0.04750639120267578 expected_range=[0.0,1.0]"
stage05_metrics_engine,precision_range_valid,PASS,"value=0.027629504481134246 expected_range=[0.0,1.0]"
stage05_metrics_engine,recall_range_valid,PASS,"value=0.26386476012294535 expected_range=[0.0,1.0]"
stage05_metrics_engine,artifact_written_evaluation_metrics,PASS,/kaggle/working/sprint04_evaluation/stage05_metrics_engine/evaluation_metrics.json
stage05_metrics_engine,artifact_written_macro_metrics,PASS,/kaggle/working/sprint04_evaluation/stage05_metrics_engine/macro_metrics.json
stage05_metrics_engine,artifact_written_micro_metrics,PASS,/kaggle/working/sprint04_evaluation/stage05_metrics_engine/micro_metrics.json
stage05_metrics_engine,artifact_written_weighted_metrics,PASS,/kaggle/working/sprint04_evaluation/stage05_metrics_engine/weighted_metrics.json
stage05_metrics_engine,artifact_written_per_class_metrics_csv,PASS,/kaggle/working/sprint04_evaluation/stage05_metrics_engine/per_class_metrics.csv
stage05_metrics_engine,artifact_written_evaluation_summary,PASS,/kaggle/working/sprint04_evaluation/stage05_metrics_engine/evaluation_summary.json
stage06_threshold_calibration_engine,class_order_consistent_stage4_stage5,PASS,prediction_metadata vs raw_logits.pt vs per_class_metrics.csv vs evaluation_metrics.json class name lists match exactly
stage06_threshold_calibration_engine,class_count_consistent,PASS,pm=14 raw=14 csv=14 em=14
stage06_threshold_calibration_engine,prediction_count_matches_metadata,PASS,predictions.parquet_rows=25596 prediction_metadata.n_samples=25596 evaluation_metrics.n_samples=25596
stage06_threshold_calibration_engine,array_shapes_correct,PASS,"ground_truth=(25596, 14) probabilities=(25596, 14) logits=(25596, 14) predictions=(25596, 14) expected=(25596,14)"
stage06_threshold_calibration_engine,ground_truth_is_binary,PASS,"unique_values=[0.0, 1.0]"
stage06_threshold_calibration_engine,probabilities_in_unit_range,PASS,min=0.000000 max=1.000000
stage06_threshold_calibration_engine,no_nan_reloaded_arrays,PASS,"checked ground_truth, probabilities, logits"
stage06_threshold_calibration_engine,no_inf_reloaded_arrays,PASS,"checked probabilities, logits"
stage06_threshold_calibration_engine,raw_logits_values_match_parquet,PASS,max_abs_diff=0.00e+00
stage06_threshold_calibration_engine,stored_predictions_match_threshold,PASS,recomputed (probabilities>=0.5) vs stored predictions column
stage06_threshold_calibration_engine,positive_counts_match_stage5,PASS,"recomputed=[3279, 1069, 1815, 925, 4658, 1093, 435, 86, 6112, 1748, 1623, 1143, 555, 2665] stage5_csv=[3279, 1069, 1815, 925, 4658, 1093, 435, 86, 6112, 1748, 1623, 1143, 555, 2665]"
stage06_threshold_calibration_engine,predicted_positive_counts_match_stage5,PASS,"recomputed=[0, 18108, 25596, 25595, 1, 0, 0, 0, 25596, 0, 0, 0, 0, 0] stage5_csv=[0, 18108, 25596, 25595, 1, 0, 0, 0, 25596, 0, 0, 0, 0, 0]"
stage06_threshold_calibration_engine,optimal_thresholds_in_unit_range,PASS,"all optimal thresholds must lie in [0,1]"
stage06_threshold_calibration_engine,calibration_metrics_finite,PASS,ece/mce/brier must be finite for all classes
stage06_threshold_calibration_engine,pathology_scan_completed,PASS,14/14 classes flagged pathological
stage06_threshold_calibration_engine,deployment_recommendations_generated,PASS,14 recommendations for 14 classes
stage06_threshold_calibration_engine,artifact_written_optimal_thresholds,PASS,/kaggle/working/sprint04_evaluation/stage06_threshold_calibration_engine/optimal_thresholds.csv
stage06_threshold_calibration_engine,artifact_written_roc_pr_threshold_curves,PASS,/kaggle/working/sprint04_evaluation/stage06_threshold_calibration_engine/roc_pr_threshold_curves.csv
stage06_threshold_calibration_engine,artifact_written_calibration_summary,PASS,/kaggle/working/sprint04_evaluation/stage06_threshold_calibration_engine/calibration_summary.csv
stage06_threshold_calibration_engine,artifact_written_probability_distribution_summary,PASS,/kaggle/working/sprint04_evaluation/stage06_threshold_calibration_engine/probability_distribution_summary.csv
stage06_threshold_calibration_engine,artifact_written_pathology_report,PASS,/kaggle/working/sprint04_evaluation/stage06_threshold_calibration_engine/pathology_report.csv
stage06_threshold_calibration_engine,artifact_written_deployment_recommendations,PASS,/kaggle/working/sprint04_evaluation/stage06_threshold_calibration_engine/deployment_recommendations.csv
stage07_interpretability_engine,class_order_consistent_all_stages,PASS,stage3/stage4(pm)/stage4(raw)/stage5(csv)/stage6(thr)/stage6(calib) class name lists match exactly
stage07_interpretability_engine,class_count_consistent,PASS,stage3=14 pm=14 raw=14 csv=14
stage07_interpretability_engine,prediction_count_matches_metadata,PASS,predictions.parquet_rows=25596 prediction_metadata.n_samples=25596
stage07_interpretability_engine,dataset_manifest_row_count_matches,PASS,dataset_summary.csv_rows=25596 expected=25596
stage07_interpretability_engine,array_shapes_correct,PASS,"ground_truth=(25596, 14) probabilities=(25596, 14) expected=(25596,14)"
stage07_interpretability_engine,no_nan_reloaded_arrays,PASS,"checked ground_truth, probabilities"
stage07_interpretability_engine,probabilities_in_unit_range,PASS,min=0.000000 max=1.000000
stage07_interpretability_engine,architecture_backbone_is_densenet121,PASS,backbone=densenet121
stage07_interpretability_engine,architecture_num_classes_matches,PASS,training_summary.num_classes=14 class_names=14
stage07_interpretability_engine,device_resolved,PASS,device=cuda
stage07_interpretability_engine,model_constructed,PASS,backbone=densenet121 num_classes=14
stage07_interpretability_engine,checkpoint_loads_successfully,PASS,as-is
stage07_interpretability_engine,checkpoint_compatible_densenet121_backbone,PASS,backbone=densenet121
stage07_interpretability_engine,checkpoint_num_classes_matches,PASS,checkpoint_num_classes=14 class_names=14
stage07_interpretability_engine,model_in_eval_mode,PASS,model.training==False
stage07_interpretability_engine,image_transforms_reconstructed,PASS,"image_size=(288, 288)"
stage07_interpretability_engine,model_output_shape_correct,PASS,"output_shape=(1, 14) expected=(1,14)"
stage07_interpretability_engine,no_nan_in_dummy_forward,PASS,dummy forward pass produced no NaNs
stage07_interpretability_engine,gpu_availability_checked,PASS,cuda_available=True device=cuda
stage07_interpretability_engine,gradcam_target_layer_exists,PASS,"layer=backbone.features.norm5 shape=(1, 1024, 9, 9)"
stage07_interpretability_engine,sample_count_within_bounds,PASS,n_selected=119 max=150
stage07_interpretability_engine,sample_pool_covers_all_classes,PASS,classes_covered=14/14
stage07_interpretability_engine,model_stayed_in_eval_mode_after_processing,PASS,model.training==False after full sample loop
stage07_interpretability_engine,pngs_written_nonzero,PASS,n_png_written=833
stage07_interpretability_engine,gradcam_generated_for_some_samples,PASS,119/119 samples succeeded
stage07_interpretability_engine,gradcam_plus_generated_for_some_samples,PASS,119/119 samples succeeded
stage07_interpretability_engine,scorecam_generated_for_some_samples,PASS,119/119 samples succeeded
stage07_interpretability_engine,eigencam_generated_for_some_samples,PASS,119/119 samples succeeded
stage07_interpretability_engine,integrated_gradients_generated_for_some_samples,PASS,119/119 samples succeeded
stage07_interpretability_engine,guided_backprop_generated_for_some_samples,PASS,119/119 samples succeeded
stage07_interpretability_engine,occlusion_generated_for_some_samples,PASS,119/119 samples succeeded
stage07_interpretability_engine,no_empty_error_gallery,PASS,n_rows=119
stage07_interpretability_engine,sample_predictions_count_matches_selection,PASS,119 vs 119
