key,stage,purpose,kind,required,relative_path,absolute_path,exists,file_size_bytes,created_at_utc
calibration_summary_csv,stage06_threshold_calibration_engine,Per-class ECE / MCE / Brier score,csv,True,stage06_threshold_calibration_engine/calibration_summary.csv,/kaggle/working/sprint04_evaluation/stage06_threshold_calibration_engine/calibration_summary.csv,True,1015,2026-07-05T05:39:48.342078+00:00
deployment_recommendations_csv,stage06_threshold_calibration_engine,Per-class deployment verdicts + reasons,csv,True,stage06_threshold_calibration_engine/deployment_recommendations.csv,/kaggle/working/sprint04_evaluation/stage06_threshold_calibration_engine/deployment_recommendations.csv,True,1665,2026-07-05T05:39:48.354079+00:00
roc_pr_threshold_curves_csv,stage06_threshold_calibration_engine,Full ROC/PR/threshold sweep curve data,csv,False,stage06_threshold_calibration_engine/roc_pr_threshold_curves.csv,/kaggle/working/sprint04_evaluation/stage06_threshold_calibration_engine/roc_pr_threshold_curves.csv,True,6062733,2026-07-05T05:39:48.337078+00:00
probability_distribution_summary_csv,stage06_threshold_calibration_engine,Per-class predicted-probability distribution summary,csv,False,stage06_threshold_calibration_engine/probability_distribution_summary.csv,/kaggle/working/sprint04_evaluation/stage06_threshold_calibration_engine/probability_distribution_summary.csv,True,5691,2026-07-05T05:39:48.346079+00:00
pathology_report_csv,stage06_threshold_calibration_engine,Per-class pathological-behavior flags,csv,False,stage06_threshold_calibration_engine/pathology_report.csv,/kaggle/working/sprint04_evaluation/stage06_threshold_calibration_engine/pathology_report.csv,True,1981,2026-07-05T05:39:48.351079+00:00
stage6_engineering_validation,stage06_threshold_calibration_engine,Stage 6 PASS/FAIL engineering checks,json,True,stage06_threshold_calibration_engine/engineering_validation.json,/kaggle/working/sprint04_evaluation/stage06_threshold_calibration_engine/engineering_validation.json,True,4567,2026-07-05T05:39:48.365080+00:00
interpretability_summary,stage07_interpretability_engine,"Explainability run configuration, method health, sample selection",json,True,stage07_interpretability_engine/summary/interpretability_summary.json,/kaggle/working/sprint04_evaluation/stage07_interpretability_engine/summary/interpretability_summary.json,True,4826,2026-07-05T05:47:35.996101+00:00
explainability_metadata,stage07_interpretability_engine,Target layer / checkpoint / image-size metadata for explainability,json,False,stage07_interpretability_engine/summary/explainability_metadata.json,/kaggle/working/sprint04_evaluation/stage07_interpretability_engine/summary/explainability_metadata.json,True,546,2026-07-05T05:47:35.998102+00:00
selected_samples_csv,stage07_interpretability_engine,The bounded sample pool selected for explainability,csv,True,stage07_interpretability_engine/summary/selected_samples.csv,/kaggle/working/sprint04_evaluation/stage07_interpretability_engine/summary/selected_samples.csv,True,11107,2026-07-05T05:47:35.951097+00:00
sample_predictions_csv,stage07_interpretability_engine,Predictions for every explained sample,csv,True,stage07_interpretability_engine/summary/sample_predictions.csv,/kaggle/working/sprint04_evaluation/stage07_interpretability_engine/summary/sample_predictions.csv,True,11107,2026-07-05T05:47:35.955098+00:00
error_gallery_csv,stage07_interpretability_engine,Per-sample panel + all 7 explainability method PNG paths,csv,True,stage07_interpretability_engine/summary/error_gallery.csv,/kaggle/working/sprint04_evaluation/stage07_interpretability_engine/summary/error_gallery.csv,True,109142,2026-07-05T05:47:35.962098+00:00
gradcam_metadata_csv,stage07_interpretability_engine,GradCAM-family run metadata,csv,False,stage07_interpretability_engine/summary/gradcam_metadata.csv,/kaggle/working/sprint04_evaluation/stage07_interpretability_engine/summary/gradcam_metadata.csv,True,10817,2026-07-05T05:47:35.967099+00:00
integrated_gradients_csv,stage07_interpretability_engine,Integrated Gradients run metadata,csv,False,stage07_interpretability_engine/summary/integrated_gradients.csv,/kaggle/working/sprint04_evaluation/stage07_interpretability_engine/summary/integrated_gradients.csv,True,5442,2026-07-05T05:47:35.970099+00:00
occlusion_summary_csv,stage07_interpretability_engine,Occlusion sensitivity run metadata,csv,False,stage07_interpretability_engine/summary/occlusion_summary.csv,/kaggle/working/sprint04_evaluation/stage07_interpretability_engine/summary/occlusion_summary.csv,True,5814,2026-07-05T05:47:35.974099+00:00
guided_backprop_summary_csv,stage07_interpretability_engine,Guided Backprop run metadata,csv,False,stage07_interpretability_engine/summary/guided_backprop_summary.csv,/kaggle/working/sprint04_evaluation/stage07_interpretability_engine/summary/guided_backprop_summary.csv,True,5072,2026-07-05T05:47:35.977100+00:00
class_confusion_matrix_csv,stage07_interpretability_engine,Class-level confusion matrix at the operating threshold,csv,True,stage07_interpretability_engine/summary/class_confusion_matrix.csv,/kaggle/working/sprint04_evaluation/stage07_interpretability_engine/summary/class_confusion_matrix.csv,True,1090,2026-07-05T05:47:35.981100+00:00
stage7_engineering_validation,stage07_interpretability_engine,Stage 7 PASS/FAIL engineering checks,json,True,stage07_interpretability_engine/summary/engineering_validation.json,/kaggle/working/sprint04_evaluation/stage07_interpretability_engine/summary/engineering_validation.json,True,4664,2026-07-05T05:47:36.000102+00:00
